turma-codigo;resumo-universidade;sentimento
CATOLICA-Prog-Web-A-2025-1-1;"O sentimento predominante entre os alunos em relação à instituição é de satisfação, especialmente no que diz respeito à disciplina de Programação Web. Os estudantes expressam um apreço pela liberdade de escolha das tecnologias a serem aprendidas, o que é visto como uma oportunidade valiosa para aplicar o conhecimento adquirido. A abordagem prática da disciplina é destacada como um ponto positivo, permitindo que os alunos desenvolvam habilidades de forma mais efetiva.  No entanto, a adaptação ao ambiente universitário apresenta desafios significativos. Muitos alunos relatam sentir-se sobrecarregados devido à quantidade de trabalhos simultâneos e à pressão para equilibrar as demandas acadêmicas com outras responsabilidades pessoais. Essa sensação de sufocamento pode impactar negativamente o bem-estar e o engajamento dos estudantes, levantando preocupações sobre o risco de evasão.  Os pontos positivos da experiência acadêmica incluem a dinâmica de aprendizado que estimula a prática e a pesquisa, além do acolhimento percebido em algumas interações. A infraestrutura da instituição, embora não mencionada diretamente, pode ser inferida como um suporte ao desenvolvimento das atividades práticas, contribuindo para um ambiente de aprendizado mais eficaz.  Por outro lado, as dificuldades enfrentadas pelos alunos estão relacionadas à falta de clareza na grade curricular e na condução do curso. A ausência de um foco mais definido e de uma abordagem que conecte os diferentes conhecimentos pode dificultar a construção de um raciocínio contínuo, comprometendo a compreensão das interações entre as tecnologias e as lógicas de programação.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a carga de trabalho, a clareza na condução do curso e a capacidade de integrar conhecimentos de forma prática. A percepção de estar ""perdido"" ou ""sufocado"" pode ser um indicativo de que ajustes na metodologia de ensino e na estrutura curricular são necessários para melhorar a experiência acadêmica.  Em suma, a análise sugere que, embora haja um sentimento geral de satisfação e uma valorização da prática, a instituição deve considerar a revisão de sua grade curricular e a forma como as disciplinas são conduzidas, a fim de promover um ambiente mais acolhedor e menos sobrecarregado, que favoreça a continuidade e o sucesso dos alunos. Essa visão analítica pode ser útil para a avaliação institucional e para a implementação de melhorias que atendam às necessidades dos estudantes.";Neutra
CATOLICA-Prog-Web-A-2025-1-2;O sentimento predominante entre os alunos em relação à instituição é de satisfação e otimismo, refletindo uma experiência acadêmica positiva, especialmente em relação ao corpo docente e à metodologia de ensino. Os estudantes expressam um reconhecimento das dificuldades iniciais enfrentadas na adaptação ao ambiente universitário, mas também demonstram resiliência e uma disposição para superar esses desafios. Essa atitude sugere que, embora a transição para a vida universitária possa ser complexa, os alunos estão dispostos a se engajar e a aproveitar as oportunidades de aprendizado.  Os pontos positivos da experiência acadêmica incluem um ambiente acolhedor, onde os professores se mostram acessíveis e dispostos a auxiliar os alunos. A infraestrutura e os recursos disponíveis, como a liberdade para escolher temas e ferramentas para os projetos, são destacados como fatores que favorecem a criatividade e o desenvolvimento pessoal. A dinâmica das aulas, que combina objetividade e interatividade, também é valorizada, contribuindo para um aprendizado mais eficaz e envolvente.  Entretanto, algumas dificuldades e fragilidades foram percebidas pelos estudantes, como a gestão de prazos e a necessidade de adaptação a novas tecnologias. Embora esses desafios sejam comuns, a capacidade de os alunos de reconhecerem essas dificuldades como oportunidades de aprendizado é um aspecto positivo que pode ser explorado pela instituição para fortalecer o suporte oferecido.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a qualidade do ensino, a relação com os professores e a liberdade criativa nas atividades. Por outro lado, a falta de clareza em relação a prazos e a necessidade de adaptação a novas ferramentas tecnológicas podem representar riscos de evasão, especialmente para aqueles que se sentem menos confiantes em suas habilidades.  Em suma, a análise das respostas dos estudantes revela uma experiência acadêmica predominantemente positiva, com um ambiente de aprendizado que promove o desenvolvimento pessoal e profissional. No entanto, é fundamental que a instituição continue a monitorar e abordar as dificuldades enfrentadas pelos alunos, garantindo que todos tenham as ferramentas e o suporte necessários para prosperar em sua jornada acadêmica. Essa visão analítica pode ser útil para a avaliação institucional e para a implementação de melhorias contínuas no processo educativo.;Positiva
CATOLICA-Prog-Web-B-2025-1-1;**Resumo Geral da Turma: Análise da Experiência Acadêmica na Disciplina**  A análise das respostas dos estudantes revela um sentimento predominantemente positivo em relação à experiência acadêmica na disciplina em questão. Os alunos expressam satisfação com a liberdade oferecida para escolher ferramentas e desenvolver projetos, o que contribui para um ambiente de aprendizado autônomo e estimulante. Essa autonomia é vista como um fator motivador, permitindo que os estudantes explorem novas tecnologias e aprimorem suas habilidades de forma individualizada.  O processo de adaptação ao ambiente universitário parece ser facilitado pela abordagem didática do professor, que promove um espaço de aprendizado onde os alunos se sentem à vontade para tirar dúvidas e buscar orientações. No entanto, alguns estudantes mencionam a necessidade de um acompanhamento mais próximo, especialmente ao introduzir novos frameworks, o que sugere que a transição para o aprendizado de tecnologias mais complexas pode ser desafiadora sem uma orientação adequada.  Entre os pontos positivos destacados, a infraestrutura e o ambiente de aprendizado foram considerados favoráveis, com ênfase na didática do professor, que é elogiada por sua capacidade de guiar os alunos em suas dúvidas e por permitir que cada um avance em seu próprio ritmo. A proposta da disciplina é vista como relevante e alinhada às necessidades do curso, com muitos alunos reconhecendo a importância dos conteúdos abordados para seu desenvolvimento profissional.  Entretanto, algumas dificuldades foram identificadas, como a sobrecarga de trabalho ao desenvolver múltiplas aplicações simultaneamente e a percepção de que certos conteúdos teóricos não são suficientemente abordados em sala de aula. Isso pode impactar a compreensão dos alunos sobre conceitos fundamentais, como a diferença entre frameworks e a aplicação de recursos de interface.  Fatores que influenciam o bem-estar e o engajamento dos estudantes incluem a liberdade de escolha nas ferramentas de aprendizado e a qualidade do suporte oferecido pelo professor. Por outro lado, a falta de um acompanhamento mais estruturado em determinados tópicos pode representar um risco de evasão ou desmotivação para aqueles que se sentem perdidos em relação ao conteúdo.  Em suma, a experiência acadêmica na disciplina é, em sua maioria, positiva, com um ambiente acolhedor e uma abordagem didática que favorece o aprendizado. No entanto, a instituição pode considerar a implementação de estratégias que ofereçam um suporte mais robusto em momentos de transição para novos conteúdos, visando minimizar as dificuldades enfrentadas pelos alunos e potencializar seu engajamento e sucesso acadêmico. Essa análise pode servir como base para a avaliação institucional e para a melhoria contínua do processo de ensino-aprendizagem.;Positiva
CATOLICA-Prog-Web-B-2025-1-2;A análise das respostas dos estudantes revela um sentimento predominantemente positivo em relação à experiência acadêmica na instituição. A maioria dos alunos expressa satisfação com o aprendizado proporcionado pelos projetos e pela flexibilidade das disciplinas, destacando a qualidade das aulas e a clareza na comunicação entre professores e alunos. Essa interação é vista como um fator crucial para o desenvolvimento acadêmico, contribuindo para um ambiente de aprendizado mais dinâmico e acessível.  O processo de adaptação ao ambiente universitário parece ser, em geral, bem-sucedido, com os alunos relatando uma boa integração às atividades propostas. A liberdade para explorar diferentes tecnologias e a orientação recebida dos professores são aspectos valorizados, indicando que a instituição oferece um espaço propício para a experimentação e o desenvolvimento de habilidades práticas.  Entre os pontos positivos, destacam-se o acolhimento dos alunos, a infraestrutura adequada para as atividades acadêmicas e o apoio contínuo dos docentes. Esses elementos são fundamentais para criar um ambiente de aprendizado estimulante e inclusivo, que favorece o engajamento dos estudantes.  No entanto, algumas dificuldades e fragilidades foram identificadas. Um número reduzido de alunos mencionou a falta de conteúdo teórico em algumas disciplinas, sugerindo que a inclusão de frameworks ou ferramentas teóricas poderia enriquecer a experiência de aprendizado. Além disso, há relatos de insatisfação de alguns estudantes que se sentem estagnados ou sem aprendizado significativo, o que pode indicar a necessidade de uma avaliação mais aprofundada sobre a adequação dos conteúdos e metodologias aplicadas.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a qualidade da comunicação com os professores, a flexibilidade das disciplinas e a possibilidade de personalização do aprendizado. Por outro lado, a percepção de falta de conteúdo teórico e a insatisfação com a aprendizagem podem ser fatores de risco para a evasão, especialmente se não forem abordados adequadamente.  Em suma, a visão analítica dos dados sugere que, embora a maioria dos alunos tenha uma experiência positiva na instituição, é fundamental considerar as críticas e sugestões apresentadas para aprimorar a oferta acadêmica. A avaliação institucional deve, portanto, focar em fortalecer os aspectos positivos enquanto busca soluções para as fragilidades identificadas, garantindo um ambiente de aprendizado cada vez mais eficaz e inclusivo.;Positiva
UFSC-EMB5600_01602_01605-2025-1-1;**Resumo da Experiência Acadêmica em Programação na Universidade**  A análise das respostas dos estudantes sobre a disciplina de Programação revela um sentimento predominantemente positivo em relação à instituição e ao curso. Os alunos expressam satisfação com a didática da professora, que é descrita como clara, atenciosa e capaz de tornar o aprendizado de programação acessível e interessante, mesmo para aqueles sem experiência prévia. A introdução gradual aos conceitos de programação, aliada a uma abordagem prática, tem contribuído para um ambiente de aprendizado acolhedor e motivador.  O processo de adaptação ao ambiente universitário parece estar ocorrendo de forma satisfatória para a maioria dos alunos. Muitos relatam que, apesar de serem iniciantes, estão se sentindo confortáveis e animados para aprender. A utilização de recursos didáticos, como aulas práticas e materiais complementares, tem sido um ponto positivo destacado, facilitando a compreensão dos conteúdos e promovendo um aprendizado ativo.  Entre os aspectos positivos da experiência acadêmica, os estudantes mencionam a infraestrutura adequada, com laboratórios bem equipados e um ambiente propício para o aprendizado. O suporte oferecido por professores e monitores também é considerado fundamental, contribuindo para a resolução de dúvidas e a construção de um conhecimento sólido.  No entanto, algumas dificuldades e fragilidades foram identificadas. Alguns alunos expressaram a sensação de que o ritmo das aulas poderia ser mais acelerado, especialmente aqueles que já possuem algum conhecimento prévio em programação. Além disso, a falta de equipamentos pessoais, como computadores, foi mencionada como um fator que pode impactar o aprendizado de alguns estudantes.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a qualidade da didática, a relevância do conteúdo para o mercado de trabalho e a possibilidade de aplicar o que aprendem em contextos práticos. Por outro lado, a insegurança em relação à própria capacidade de aprender programação e a percepção de que o conteúdo é muito básico para alguns alunos podem representar riscos de desmotivação e evasão.  Em suma, a análise sugere que a disciplina de Programação está cumprindo seu papel de introduzir os alunos ao mundo da programação de forma eficaz e envolvente. A continuidade do suporte pedagógico, a adaptação do ritmo das aulas às necessidades dos alunos e a oferta de recursos adicionais podem ser estratégias valiosas para maximizar o aprendizado e minimizar a evasão. Essa visão analítica pode servir como base para a avaliação institucional e para o aprimoramento contínuo do ensino na universidade.;Positiva
UFSC-EMB5600_01602_01605-2025-1-2 ;**Resumo da Experiência Acadêmica da Turma de Programação em C**  A análise das respostas dos estudantes revela um sentimento predominantemente positivo em relação à disciplina de Programação em C e à atuação da professora responsável. A maioria dos alunos expressa satisfação com a didática aplicada, destacando a clareza nas explicações e a capacidade da docente de tornar conteúdos complexos mais acessíveis. A metodologia que combina teoria e prática, com aulas de laboratório, é amplamente elogiada, contribuindo para um aprendizado mais efetivo e dinâmico.  O processo de adaptação ao ambiente universitário parece ser um desafio para alguns alunos, especialmente aqueles que não possuem experiência prévia em programação. Embora muitos relatem um aumento no interesse pela área, há também um reconhecimento das dificuldades enfrentadas, especialmente em relação à complexidade da linguagem C e à necessidade de dedicação extra para acompanhar o ritmo das aulas. A percepção de que o conteúdo está se tornando mais desafiador ao longo do semestre é comum, e alguns alunos mencionam a necessidade de um tempo maior para assimilação dos conceitos.  Entre os pontos positivos da experiência acadêmica, destacam-se o acolhimento e o suporte oferecido pelos professores e monitores, que estão sempre disponíveis para esclarecer dúvidas. A infraestrutura da universidade, embora não mencionada diretamente, é implicitamente valorizada pela organização das aulas e pela possibilidade de acesso a laboratórios e recursos de aprendizado.  Entretanto, as dificuldades percebidas pelos estudantes incluem a correção automática de atividades, que pode não considerar a singularidade das abordagens individuais, e a sensação de apatia ou desmotivação em alguns casos, especialmente entre aqueles que se sentem perdidos ou com dificuldades em acompanhar o conteúdo. A divisão do tempo entre estudos e trabalho também é um fator que impacta negativamente o desempenho e o bem-estar de alguns alunos, levando a preocupações com a evasão.  Fatores que influenciam o bem-estar e o engajamento incluem a qualidade do ensino, a relação com a professora e a interação com colegas, que podem proporcionar um ambiente de aprendizado mais colaborativo. Por outro lado, a pressão para acompanhar o conteúdo e a falta de tempo para estudo são aspectos que podem aumentar o risco de evasão.  Em suma, a análise sugere que, embora a maioria dos alunos esteja satisfeita com a disciplina e reconheça seu valor, é fundamental que a instituição considere as dificuldades enfrentadas por alguns estudantes. A implementação de estratégias que promovam um suporte adicional, como tutoriais, grupos de estudo e ajustes na carga de conteúdo, pode ser benéfica para melhorar a experiência acadêmica e reduzir o risco de evasão. A visão analítica aqui apresentada pode servir como base para futuras avaliações institucionais e para o aprimoramento contínuo do processo de ensino-aprendizagem.;Positiva
UFSC-EMB5648_01601_01604-2025-1-1;**Resumo da Experiência Acadêmica da Turma de Programação**  A análise das respostas dos estudantes revela um sentimento predominantemente positivo em relação à disciplina de programação e à atuação dos professores. Os alunos expressam satisfação com a didática e a clareza das explicações, destacando a importância do suporte oferecido pelos docentes na resolução de dúvidas. A combinação de aulas teóricas e práticas, aliada ao uso de recursos como vídeos, tem contribuído para um aprendizado mais eficaz, especialmente para aqueles que enfrentam dificuldades iniciais.  O processo de adaptação ao ambiente universitário parece ser um desafio para alguns alunos, especialmente para aqueles que se sentem perdidos ou ansiosos. No entanto, muitos relatam uma sensação de empolgação e curiosidade em relação ao conteúdo, o que sugere que a maioria está se esforçando para se integrar e aproveitar a experiência acadêmica. A disciplina é vista como uma oportunidade de desenvolvimento de habilidades valiosas, especialmente no que diz respeito ao raciocínio lógico e à preparação para o mercado de trabalho.  Entre os pontos positivos, os estudantes mencionam o acolhimento e a disposição dos professores em ajudar, além da infraestrutura que permite um aprendizado dinâmico. A metodologia de ensino, que mescla teoria e prática, é amplamente elogiada, embora alguns alunos sugiram que uma maior conexão entre os conteúdos abordados e suas aplicações práticas poderia enriquecer ainda mais as aulas.  Por outro lado, as dificuldades percebidas incluem a complexidade da programação e a necessidade de um ritmo de aula que atenda a todos os níveis de conhecimento. Alguns alunos, especialmente aqueles sem afinidade prévia com a área, relatam desafios em aplicar a lógica aprendida nas aulas práticas. Além disso, a falta de conexão entre alguns conteúdos e suas aplicações práticas gera frustração em alguns estudantes.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a qualidade do ensino, a interação com os professores e a relevância do conteúdo para suas aspirações profissionais. A ansiedade e a sensação de estar perdido podem ser riscos potenciais para a evasão, especialmente entre aqueles que não se sentem atraídos pela disciplina.  Em suma, a experiência acadêmica na disciplina de programação é, em sua maioria, positiva, com um ambiente de aprendizado que favorece a interação e o desenvolvimento. No entanto, é fundamental que a instituição continue a monitorar e ajustar a metodologia de ensino, garantindo que todos os alunos, independentemente de seu nível de conhecimento prévio, possam se sentir integrados e motivados a prosseguir em sua formação. Essa análise pode servir como base para futuras avaliações institucionais e para a implementação de melhorias no processo de ensino-aprendizagem.;Positiva
UFSC-EMB5648_01601_01604-2025-1-2;**Resumo da Experiência Acadêmica da Turma de Programação**  A análise das respostas dos estudantes revela um sentimento misto em relação à experiência acadêmica na disciplina de programação. Embora muitos alunos expressem satisfação ao aprender novos conceitos e a realização ao completar exercícios, há uma preocupação generalizada com a dificuldade de compreensão do conteúdo e a pressão relacionada ao desempenho nas avaliações.  **Sentimento Predominante:** O sentimento predominante entre os alunos é de satisfação moderada, com uma apreciação pelo aprendizado e pela prática. No entanto, essa satisfação é frequentemente acompanhada de ansiedade e insegurança em relação ao domínio do conteúdo, especialmente em tópicos mais complexos, como vetores. A percepção de progresso é notada, mas muitos alunos ainda se sentem aquém do que consideram necessário para um bom desempenho nas provas.  **Adaptação ao Ambiente Universitário:** O processo de adaptação ao ambiente universitário parece ser desafiador para alguns estudantes, especialmente para aqueles que enfrentam barreiras linguísticas ou de compreensão. A velocidade das aulas e a complexidade do material apresentado são citadas como fatores que dificultam a assimilação do conteúdo. Estudantes estrangeiros, em particular, relatam dificuldades adicionais, sugerindo que uma abordagem mais lenta e clara poderia facilitar a compreensão.  **Pontos Positivos:** Entre os aspectos positivos da experiência acadêmica, destaca-se o acolhimento e o suporte oferecido durante as aulas práticas, onde os alunos se sentem à vontade para tirar dúvidas. A infraestrutura da instituição e a disponibilidade de recursos para o aprendizado também são mencionadas como fatores que contribuem para uma experiência positiva. A motivação para aprender e a apreciação pelo assunto são evidentes, mesmo diante das dificuldades.  **Dificuldades e Fragilidades:** As principais dificuldades percebidas pelos estudantes incluem a falta de clareza nas explicações, a quantidade de exercícios e a comunicação entre professores. A pressão para realizar todos os exercícios e a preocupação com o desempenho nas avaliações são fontes de estresse. Além disso, a sensação de confusão em relação ao conteúdo e a necessidade de um estudo mais intensivo em casa são recorrentes.  **Fatores que Influenciam o Bem-Estar e Engajamento:** Fatores como a clareza na comunicação, a adequação do ritmo das aulas e o suporte contínuo são cruciais para o bem-estar e engajamento dos alunos. A percepção de que a disciplina não está sendo ministrada de forma adequada ao nível de compreensão dos estudantes pode aumentar o risco de evasão. A falta de confiança em relação ao aprendizado e a dificuldade em acompanhar o conteúdo podem levar a um desinteresse progressivo.  **Visão Analítica para Avaliação Institucional:** A análise sugere que a instituição deve considerar a implementação de estratégias que promovam uma comunicação mais eficaz entre professores e alunos, além de ajustar o ritmo das aulas para atender às necessidades de todos os estudantes. A oferta de recursos adicionais, como tutoriais e sessões de revisão, pode ser benéfica. A atenção às dificuldades específicas de estudantes estrangeiros e a promoção de um ambiente de aprendizado mais inclusivo são essenciais para melhorar a experiência acadêmica e reduzir o risco de evasão. A valorização do feedback dos alunos pode ser um caminho importante para aprimorar a qualidade do ensino e a satisfação geral com a disciplina.;Neutra
UFSC-EMB5648_01606-2025-1-1;**Resumo da Experiência Acadêmica da Turma de Programação**  A análise das respostas dos estudantes em relação à disciplina de programação revela um sentimento predominantemente positivo em relação à experiência acadêmica na universidade. A maioria dos alunos expressa satisfação com a didática do professor e a relevância do conteúdo, destacando a clareza nas explicações e a aplicação prática dos conceitos. Essa percepção de qualidade no ensino contribui para um ambiente de aprendizado estimulante, onde os alunos se sentem motivados a se aprofundar na matéria.  O processo de adaptação ao ambiente universitário, especialmente em uma disciplina desafiadora como a programação, apresenta variações significativas entre os estudantes. Enquanto alguns relatam uma transição tranquila e um aumento na confiança ao longo das aulas, outros enfrentam dificuldades iniciais, especialmente aqueles sem experiência prévia na área. A ansiedade e o receio em relação às avaliações são sentimentos comuns, mas muitos alunos demonstram otimismo e disposição para superar esses desafios por meio da prática e do estudo.  Entre os pontos positivos da experiência acadêmica, destacam-se o acolhimento proporcionado pelo professor, a infraestrutura adequada para as atividades práticas e o ambiente colaborativo que favorece a troca de conhecimentos. Os alunos valorizam a oportunidade de aprender em um contexto que se conecta com as exigências do mercado de trabalho, especialmente no que diz respeito à Engenharia Naval.  No entanto, algumas fragilidades foram identificadas. Dificuldades na interpretação de lógica de programação e na familiarização com ferramentas computacionais são recorrentes, o que pode impactar o desempenho acadêmico de alguns estudantes. Além disso, a falta de interesse em programação por parte de alguns alunos pode ser um fator que contribui para a desmotivação e, potencialmente, para o risco de evasão.  Fatores que influenciam o bem-estar e o engajamento dos alunos incluem a qualidade do ensino, o suporte oferecido pelo professor e a relevância percebida do conteúdo para suas futuras carreiras. A ansiedade em relação ao desempenho e a falta de experiência prévia são aspectos que podem afetar a confiança dos alunos e, consequentemente, sua permanência na disciplina.  Em suma, a análise sugere que, embora a maioria dos alunos esteja satisfeita e engajada, a universidade deve considerar estratégias para apoiar aqueles que enfrentam dificuldades, promovendo um ambiente inclusivo que favoreça a adaptação e o aprendizado de todos. A avaliação contínua da experiência acadêmica e a implementação de ações de apoio podem ser fundamentais para reduzir a ansiedade e aumentar a motivação, contribuindo assim para a retenção e o sucesso dos estudantes.;Positiva
UFSC-EMB5648_01606-2025-1-2;**Resumo da Experiência Acadêmica da Turma de Programação**  A análise das respostas dos estudantes revela um sentimento misto em relação à experiência acadêmica na disciplina de Programação, com um predomínio de desmotivação e desafios, mas também uma disposição para seguir em frente e superar as dificuldades. Muitos alunos expressam uma sensação de confusão e complexidade nas aulas, especialmente em relação à didática utilizada, que é considerada por alguns como densa e difícil de acompanhar. No entanto, há um reconhecimento da importância da disciplina para a formação em Engenharia, o que contribui para um sentimento de responsabilidade e motivação em relação ao aprendizado.  O processo de adaptação ao ambiente universitário parece ser um desafio significativo para os alunos, especialmente para aqueles que estão tendo seu primeiro contato com a programação. A transição de métodos de ensino anteriores para a abordagem atual tem gerado dificuldades, mas também um reconhecimento de que a prática e a repetição são essenciais para o domínio da matéria. A maioria dos estudantes relata que, apesar das dificuldades, está conseguindo acompanhar o conteúdo e percebe um progresso em seu aprendizado, o que sugere um potencial de adaptação ao longo do tempo.  Entre os pontos positivos da experiência acadêmica, destacam-se o acolhimento e a disponibilidade de atividades práticas que favorecem o aprendizado. Os alunos mencionam que as aulas práticas e teóricas estão bem relacionadas, criando um ambiente propício para o desenvolvimento do raciocínio lógico e habilidades tecnológicas. A quantidade de exercícios e a possibilidade de prática são vistas como aspectos benéficos que contribuem para a evolução dos estudantes.  Entretanto, as dificuldades percebidas incluem a complexidade do conteúdo, a necessidade de mais clareza nas explicações e a dificuldade em aplicar os conhecimentos adquiridos durante as avaliações. Muitos alunos sentem que a carga de trabalho e a densidade das atividades podem ser desafiadoras, especialmente para aqueles que não têm experiência prévia em programação. Essa situação pode impactar o bem-estar e o engajamento dos estudantes, aumentando o risco de evasão, especialmente entre aqueles que se sentem sobrecarregados ou desmotivados.  Fatores que influenciam o bem-estar e o engajamento incluem a percepção de progresso, a qualidade do apoio recebido e a relação com os colegas e professores. A motivação para superar as dificuldades e a busca por um entendimento mais profundo da disciplina são aspectos que podem contribuir para a retenção dos alunos. A necessidade de um suporte mais direcionado e de uma didática mais acessível é um ponto a ser considerado para melhorar a experiência acadêmica e reduzir o risco de evasão.  Em suma, a análise sugere que, embora a disciplina de Programação apresente desafios significativos para os alunos, há um reconhecimento de sua importância e um desejo de superação. A instituição pode se beneficiar ao considerar ajustes na abordagem pedagógica e no suporte oferecido, visando melhorar a experiência acadêmica e promover um ambiente mais acolhedor e motivador para todos os estudantes.;Neutra
